district,state,statecode,zone
Adilabad,Telangana,TG,2.0
Agar Malwa,Madhya Pradesh,MP,2.0
Agra,Uttar Pradesh,UP,3.0
Ahmedabad,Gujarat,GJ,3.0
Ahmednagar,Maharashtra,MH,2.0
Aizawl,Mizoram,MZ,1.0
Ajmer,Rajasthan,RJ,3.0
Akola,Maharashtra,MH,3.0
Alappuzha,Kerala,KL,1.0
Aligarh,Uttar Pradesh,UP,3.0
Alipurduar,West Bengal,WB,1.0
Alirajpur,Madhya Pradesh,MP,2.0
Almora,Uttarakhand,UT,1.0
Alwar,Rajasthan,RJ,2.0
Ambala,Haryana,HR,2.0
Ambedkar Nagar,Uttar Pradesh,UP,1.0
Amethi,Uttar Pradesh,UP,2.0
Amravati,Maharashtra,MH,2.0
Amreli,Gujarat,GJ,1.0
Amritsar,Punjab,PB,2.0
Amroha,Uttar Pradesh,UP,3.0
Anand,Gujarat,GJ,3.0
Anantapur,Andhra Pradesh,AP,2.0
Anantnag,Jammu and Kashmir,JK,3.0
Angul,Odisha,OR,3.0
Anjaw,Arunachal Pradesh,AR,1.0
Anuppur,Madhya Pradesh,MP,1.0
Araria,Bihar,BR,1.0
Aravalli,Gujarat,GJ,3.0
Ariyalur,Tamil Nadu,TN,2.0
Arwal,Bihar,BR,2.0
Ashoknagar,Madhya Pradesh,MP,1.0
Auraiya,Uttar Pradesh,UP,2.0
Aurangabad,Bihar,BR,2.0
Aurangabad,Maharashtra,MH,3.0
Ayodhya,Uttar Pradesh,UP,2.0
Azamgarh,Uttar Pradesh,UP,2.0
Bagalkote,Karnataka,KA,2.0
Bageshwar,Uttarakhand,UT,1.0
Baghpat,Uttar Pradesh,UP,2.0
Bahraich,Uttar Pradesh,UP,2.0
Baksa,Assam,AS,1.0
Balaghat,Madhya Pradesh,MP,1.0
Balangir,Odisha,OR,2.0
Balasore,Odisha,OR,3.0
Ballari,Karnataka,KA,2.0
Ballia,Uttar Pradesh,UP,1.0
Balod,Chhattisgarh,CT,1.0
Baloda Bazar,Chhattisgarh,CT,1.0
Balrampur,Chhattisgarh,CT,1.0
Balrampur,Uttar Pradesh,UP,2.0
Bametara,Chhattisgarh,CT,1.0
Banaskantha,Gujarat,GJ,3.0
Banda,Uttar Pradesh,UP,2.0
Bandipora,Jammu and Kashmir,JK,3.0
Banka,Bihar,BR,2.0
Bankura,West Bengal,WB,1.0
Banswara,Rajasthan,RJ,3.0
Barabanki,Uttar Pradesh,UP,1.0
Baramulla,Jammu and Kashmir,JK,3.0
Baran,Rajasthan,RJ,1.0
Bareilly,Uttar Pradesh,UP,3.0
Bargarh,Odisha,OR,1.0
Barmer,Rajasthan,RJ,2.0
Barnala,Punjab,PB,2.0
Barpeta,Assam,AS,1.0
Barwani,Madhya Pradesh,MP,3.0
Bastar,Chhattisgarh,CT,1.0
Basti,Uttar Pradesh,UP,2.0
Bathinda,Punjab,PB,2.0
Beed,Maharashtra,MH,2.0
Begusarai,Bihar,BR,2.0
Belagavi,Karnataka,KA,2.0
Bengaluru Rural,Karnataka,KA,3.0
Bengaluru Urban,Karnataka,KA,3.0
Betul,Madhya Pradesh,MP,2.0
Bhadohi,Uttar Pradesh,UP,2.0
Bhadradri Kothagudem,Telangana,TG,1.0
Bhadrak,Odisha,OR,3.0
Bhagalpur,Bihar,BR,2.0
Bhandara,Maharashtra,MH,2.0
Bharatpur,Rajasthan,RJ,3.0
Bharuch,Gujarat,GJ,2.0
Bhavnagar,Gujarat,GJ,3.0
Bhilwara,Rajasthan,RJ,2.0
Bhind,Madhya Pradesh,MP,1.0
Bhiwani,Haryana,HR,2.0
Bhojpur,Bihar,BR,2.0
Bhopal,Madhya Pradesh,MP,3.0
Bidar,Karnataka,KA,2.0
Bijapur,Chhattisgarh,CT,1.0
Bijnor,Uttar Pradesh,UP,3.0
Bikaner,Rajasthan,RJ,2.0
